Soares diz-se «perplexo» com Cravinho,ent1_opposes_ent2,2000-05-25,https://arquivo.pt/wayback/20000525191238/http://www.expresso.pt/ed1325/p52.asp?a,Soares,Cravinho,https://www.wikidata.org/wiki/Q1340708,https://www.wikidata.org/wiki/Q64685,95.91.214.138
Sousa Franco responde a Jorge Coelho:«Saiba que não me calarei»,ent1_opposes_ent2,2000-10-17,https://arquivo.pt/wayback/20001017101451/http://www.expresso.pt/ed1433/pu15.asp?ls,Sousa Franco,Jorge Coelho:«Saiba,https://www.wikidata.org/wiki/Q4777639,https://www.wikidata.org/wiki/Q3183808,95.91.214.138
Mendes ensaia ataque a Durão,ent1_opposes_ent2,2001-01-09,https://arquivo.pt/wayback/20010109073600/http://www.expresso.pt/ed1418/p101.asp?p,Mendes,Durão,https://www.wikidata.org/wiki/Q550243,https://www.wikidata.org/wiki/Q15849,95.91.214.138
Guterres solidário com Sampaio no caso do urânio empobrecido,ent1_supports_ent2,2001-01-25,http://publico.pt/8546,Guterres,Sampaio,https://www.wikidata.org/wiki/Q311440,https://www.wikidata.org/wiki/Q156780,95.91.214.138
Durão Barroso pede a demissão de Jorge Coelho,ent1_opposes_ent2,2001-02-05,http://publico.pt/9943,Durão Barroso,Jorge Coelho,https://www.wikidata.org/wiki/Q15849,https://www.wikidata.org/wiki/Q3183808,95.91.214.138
Armando Vara escolhido por Guterres para coordenar autárquicas,ent2_supports_ent1,2001-02-09,http://publico.pt/10372,Armando Vara,Guterres,https://www.wikidata.org/wiki/Q4792848,https://www.wikidata.org/wiki/Q311440,95.91.214.138
Manuela Ferreira Leite e João Cravinho analisam governação do PS,other,2001-03-20,http://publico.pt/15566,Manuela Ferreira Leite,João Cravinho,https://www.wikidata.org/wiki/Q444059,https://www.wikidata.org/wiki/Q64685,95.91.214.138
"Fernando Seara para Sintra, Pedro Lynce na Azambuja",other,2001-05-31,https://arquivo.pt/wayback/20010531063602/http://jornal.publico.pt/publico/2001/05/31/Nacional/P07.html,Fernando Seara,Pedro Lynce,https://www.wikidata.org/wiki/Q10281523,https://www.wikidata.org/wiki/Q10347577,95.91.214.138
Louçã critica Orçamento Rectificativo anunciado por Pina Moura,ent1_opposes_ent2,2001-06-10,http://publico.pt/26861,Louçã,Pina Moura,https://www.wikidata.org/wiki/Q1442096,https://www.wikidata.org/wiki/Q3179732,95.91.214.138
Eleitores consideram Sócrates melhor líder que Passos Coelho,other,2011-05-11,https://arquivo.pt/wayback/20110511020632/http://www.dn.pt/Inicio/interior.aspx?content_id=1845555,Sócrates,Passos Coelho,https://www.wikidata.org/wiki/Q182367,https://www.wikidata.org/wiki/Q57615,95.91.214.138
"Sócrates: Passos Coelho ""não percebeu o simbolismo desta obra""",ent1_opposes_ent2,2017-08-08,https://arquivo.pt/wayback/20170808235151/http://www.tsf.pt/politica/interior/passos-coelho-nao-percebeu-o-simbolismo-desta-obra-5162819.html,Sócrates,Passos Coelho,https://www.wikidata.org/wiki/Q182367,https://www.wikidata.org/wiki/Q57615,95.91.214.138
Pina Moura terá pedido demissão a Guterres,ent1_opposes_ent2,2001-06-21,http://publico.pt/28383,Pina Moura,Guterres,https://www.wikidata.org/wiki/Q3179732,https://www.wikidata.org/wiki/Q311440,95.91.214.138
Manuel Maria Carrilho e Alfredo Barroso,other,2001-08-06,https://arquivo.pt/wayback/20010806063849/http://jornal.publico.pt/publico/2001/08/06/EspacoPublico/OCRT02.html,Manuel Maria Carrilho,Alfredo Barroso,https://www.wikidata.org/wiki/Q13582493,https://www.wikidata.org/wiki/Q16336375,95.91.214.138
Gomes contra eventual candidatura de Nuno Cardoso,ent1_opposes_ent2,2001-08-17,http://publico.pt/35912,Gomes,Nuno Cardoso,https://www.wikidata.org/wiki/Q10281366,https://www.wikidata.org/wiki/Q10338167,95.91.214.138
Barroso acusa Sampaio de colocar condição de socialista à frente da Presidência,ent1_opposes_ent2,2001-10-30,http://publico.pt/47579,Barroso,Sampaio,https://www.wikidata.org/wiki/Q15849,https://www.wikidata.org/wiki/Q156780,95.91.214.138
"Guterres, Mesquita e o psiquiatra",other,2001-12-01,https://arquivo.pt/wayback/20011201065236/http://jornal.publico.pt/publico/2001/12/01/LocalPorto/LP07CX01.html,Guterres,Mesquita,https://www.wikidata.org/wiki/Q311440,https://www.wikidata.org/wiki/Q10328972,95.91.214.138
